condition,language_code,token_id,token,count,frequency_percent
classification,eng_Latn,145,ja,1,0.00500000
classification,eng_Latn,146,▁del,2,0.01000000
classification,eng_Latn,147,ar,2,0.01000000
classification,eng_Latn,148,▁w,8,0.04000000
classification,eng_Latn,150,li,3,0.01500000
classification,eng_Latn,151,▁ya,2,0.01000000
classification,eng_Latn,156,▁ka,1,0.00500000
classification,eng_Latn,158,▁con,1,0.00500000
classification,eng_Latn,160,▁po,9,0.04500000
classification,eng_Latn,161,ka,1,0.00500000
classification,eng_Latn,163,▁me,388,1.94000000
classification,eng_Latn,164,is,7,0.03500000
classification,eng_Latn,166,▁su,8,0.04000000
classification,eng_Latn,168,▁den,3,0.01500000
classification,eng_Latn,169,z,1,0.00500000
classification,eng_Latn,171,▁om,1,0.00500000
classification,eng_Latn,172,si,1,0.00500000
classification,eng_Latn,173,▁ve,2,0.01000000
classification,eng_Latn,177,g,4,0.02000000
classification,eng_Latn,182,▁har,3,0.01500000
classification,eng_Latn,184,se,6,0.03000000
classification,eng_Latn,185,▁av,1,0.00500000
classification,eng_Latn,186,▁be,56,0.28000000
classification,eng_Latn,187,▁ar,3,0.01500000
classification,eng_Latn,191,on,5,0.02500000
classification,eng_Latn,192,ma,3,0.01500000
classification,eng_Latn,195,em,2,0.01000000
classification,eng_Latn,196,▁por,1,0.00500000
classification,eng_Latn,199,▁les,1,0.00500000
classification,eng_Latn,206,ch,4,0.02000000
classification,eng_Latn,208,ga,1,0.00500000
classification,eng_Latn,214,ing,33,0.16500000
classification,eng_Latn,217,it,2,0.01000000
classification,eng_Latn,219,ra,1,0.00500000
classification,eng_Latn,220,▁una,1,0.00500000
classification,eng_Latn,221,▁so,19,0.09500000
classification,eng_Latn,223,us,1,0.00500000
classification,eng_Latn,237,▁as,16,0.08000000
classification,eng_Latn,238,c,6,0.03000000
classification,eng_Latn,246,do,2,0.01000000
classification,eng_Latn,249,▁pa,2,0.01000000
classification,eng_Latn,254,p,2,0.01000000
classification,eng_Latn,256,▁ha,1,0.00500000
classification,eng_Latn,257,at,6,0.03000000
classification,eng_Latn,259,▁wa,1,0.00500000
classification,eng_Latn,271,st,5,0.02500000
classification,eng_Latn,272,ve,10,0.05000000
classification,eng_Latn,275,b,2,0.01000000
classification,eng_Latn,277,com,17,0.08500000
classification,eng_Latn,279,▁vi,1,0.00500000
classification,eng_Latn,280,▁pe,1,0.00500000
classification,eng_Latn,282,me,1,0.00500000
classification,eng_Latn,286,▁um,3,0.01500000
classification,eng_Latn,289,al,5,0.02500000
classification,eng_Latn,290,▁che,13,0.06500000
classification,eng_Latn,291,▁ma,3,0.01500000
classification,eng_Latn,297,ed,27,0.13500000
classification,eng_Latn,299,ny,2,0.01000000
classification,eng_Latn,300,▁ni,28,0.14000000
classification,eng_Latn,306,om,1,0.00500000
classification,eng_Latn,308,▁ta,2,0.01000000
classification,eng_Latn,318,ci,1,0.00500000
classification,eng_Latn,321,▁din,1,0.00500000
classification,eng_Latn,324,▁mi,12,0.06000000
classification,eng_Latn,329,ce,5,0.02500000
classification,eng_Latn,330,va,2,0.01000000
classification,eng_Latn,332,▁man,4,0.02000000
classification,eng_Latn,333,▁bi,5,0.02500000
classification,eng_Latn,337,▁bo,8,0.04000000
classification,eng_Latn,344,ak,2,0.01000000
classification,eng_Latn,347,▁m,53,0.26500000
classification,eng_Latn,348,▁ang,2,0.01000000
classification,eng_Latn,350,ke,9,0.04500000
classification,eng_Latn,351,▁non,3,0.01500000
classification,eng_Latn,352,▁em,4,0.02000000
classification,eng_Latn,362,▁os,1,0.00500000
classification,eng_Latn,366,▁par,8,0.04000000
classification,eng_Latn,370,▁tu,14,0.07000000
classification,eng_Latn,373,▁bu,2,0.01000000
classification,eng_Latn,375,▁com,16,0.08000000
classification,eng_Latn,379,il,2,0.01000000
classification,eng_Latn,388,▁los,6,0.03000000
classification,eng_Latn,390,▁by,38,0.19000000
classification,eng_Latn,395,ya,1,0.00500000
classification,eng_Latn,398,▁you,170,0.85000000
classification,eng_Latn,399,ia,4,0.02000000
classification,eng_Latn,400,▁li,1,0.00500000
classification,eng_Latn,402,ba,6,0.03000000
classification,eng_Latn,408,ca,1,0.00500000
classification,eng_Latn,416,ri,1,0.00500000
classification,eng_Latn,420,f,2,0.01000000
classification,eng_Latn,425,x,3,0.01500000
classification,eng_Latn,429,ge,2,0.01000000
classification,eng_Latn,432,mo,9,0.04500000
classification,eng_Latn,434,w,6,0.03000000
classification,eng_Latn,442,▁it,110,0.55000000
classification,eng_Latn,444,▁am,58,0.29000000
classification,eng_Latn,450,▁that,65,0.32500000
classification,eng_Latn,453,▁men,1,0.00500000
classification,eng_Latn,456,▁re,7,0.03500000
classification,eng_Latn,459,▁lo,8,0.04000000
classification,eng_Latn,461,ju,1,0.00500000
classification,eng_Latn,464,im,1,0.00500000
classification,eng_Latn,472,▁k,1,0.00500000
classification,eng_Latn,478,ie,2,0.01000000
classification,eng_Latn,479,▁pre,3,0.01500000
classification,eng_Latn,493,▁ver,2,0.01000000
classification,eng_Latn,494,▁pri,2,0.01000000
classification,eng_Latn,501,▁c,18,0.09000000
classification,eng_Latn,509,▁was,29,0.14500000
classification,eng_Latn,517,▁care,1,0.00500000
classification,eng_Latn,519,go,7,0.03500000
classification,eng_Latn,522,▁eta,1,0.00500000
classification,eng_Latn,525,est,22,0.11000000
classification,eng_Latn,538,ly,10,0.05000000
classification,eng_Latn,539,nu,1,0.00500000
classification,eng_Latn,552,▁co,3,0.01500000
classification,eng_Latn,557,ndo,1,0.00500000
classification,eng_Latn,561,mu,3,0.01500000
classification,eng_Latn,566,▁im,1,0.00500000
classification,eng_Latn,576,▁las,1,0.00500000
classification,eng_Latn,583,el,8,0.04000000
classification,eng_Latn,587,co,5,0.02500000
classification,eng_Latn,590,sta,1,0.00500000
classification,eng_Latn,592,ning,1,0.00500000
classification,eng_Latn,596,za,1,0.00500000
classification,eng_Latn,599,▁ein,1,0.00500000
classification,eng_Latn,600,▁ny,2,0.01000000
classification,eng_Latn,604,▁her,4,0.02000000
classification,eng_Latn,619,▁&,1,0.00500000
classification,eng_Latn,621,▁are,99,0.49500000
classification,eng_Latn,642,▁we,35,0.17500000
classification,eng_Latn,645,▁over,8,0.04000000
classification,eng_Latn,653,▁n,17,0.08500000
classification,eng_Latn,655,▁dos,1,0.00500000
classification,eng_Latn,658,ji,4,0.02000000
classification,eng_Latn,660,nt,1,0.00500000
classification,eng_Latn,662,▁ale,18,0.09000000
classification,eng_Latn,673,▁ra,4,0.02000000
classification,eng_Latn,674,ment,1,0.00500000
classification,eng_Latn,678,▁with,81,0.40500000
classification,eng_Latn,681,▁cho,2,0.01000000
classification,eng_Latn,700,▁ge,3,0.01500000
classification,eng_Latn,706,▁g,3,0.01500000
classification,eng_Latn,707,▁or,14,0.07000000
classification,eng_Latn,712,ad,1,0.00500000
classification,eng_Latn,731,ze,2,0.01000000
classification,eng_Latn,735,gi,2,0.01000000
classification,eng_Latn,738,▁go,28,0.14000000
classification,eng_Latn,739,▁ho,2,0.01000000
classification,eng_Latn,741,▁jo,9,0.04500000
classification,eng_Latn,748,or,2,0.01000000
classification,eng_Latn,752,▁itu,2,0.01000000
classification,eng_Latn,756,▁all,60,0.30000000
classification,eng_Latn,759,▁my,370,1.85000000
classification,eng_Latn,764,▁he,6,0.03000000
classification,eng_Latn,765,▁have,97,0.48500000
classification,eng_Latn,770,▁ber,1,0.00500000
classification,eng_Latn,771,po,2,0.01000000
classification,eng_Latn,775,▁son,2,0.01000000
classification,eng_Latn,777,▁han,1,0.00500000
classification,eng_Latn,793,▁wat,1,0.00500000
classification,eng_Latn,808,▁t,8,0.04000000
classification,eng_Latn,809,▁fi,10,0.05000000
classification,eng_Latn,818,ot,1,0.00500000
classification,eng_Latn,820,der,3,0.01500000
classification,eng_Latn,831,▁can,126,0.63000000
classification,eng_Latn,837,bo,1,0.00500000
classification,eng_Latn,842,▁mu,14,0.07000000
classification,eng_Latn,864,q,2,0.01000000
classification,eng_Latn,867,tar,1,0.00500000
classification,eng_Latn,875,kin,3,0.01500000
classification,eng_Latn,876,▁b,17,0.08500000
classification,eng_Latn,881,▁min,1,0.00500000
classification,eng_Latn,885,ina,1,0.00500000
classification,eng_Latn,903,▁this,157,0.78500000
classification,eng_Latn,915,▁p,45,0.22500000
classification,eng_Latn,927,th,21,0.10500000
classification,eng_Latn,931,▁mo,3,0.01500000
classification,eng_Latn,933,ts,2,0.01000000
classification,eng_Latn,934,ach,1,0.00500000
classification,eng_Latn,935,▁your,12,0.06000000
classification,eng_Latn,939,ty,27,0.13500000
classification,eng_Latn,944,que,2,0.01000000
classification,eng_Latn,954,▁sy,1,0.00500000
classification,eng_Latn,959,▁not,14,0.07000000
classification,eng_Latn,979,hi,2,0.01000000
classification,eng_Latn,982,ren,1,0.00500000
classification,eng_Latn,995,▁ob,3,0.01500000
classification,eng_Latn,1001,▁plus,6,0.03000000
classification,eng_Latn,1018,ele,1,0.00500000
classification,eng_Latn,1022,▁x,4,0.02000000
classification,eng_Latn,1042,sk,2,0.01000000
classification,eng_Latn,1053,▁ti,1,0.00500000
classification,eng_Latn,1067,nde,1,0.00500000
classification,eng_Latn,1079,▁bei,2,0.01000000
classification,eng_Latn,1081,pe,1,0.00500000
classification,eng_Latn,1090,ada,2,0.01000000
classification,eng_Latn,1096,▁h,2,0.01000000
classification,eng_Latn,1100,▁sex,1,0.00500000
classification,eng_Latn,1108,▁mar,2,0.01000000
classification,eng_Latn,1118,▁online,3,0.01500000
classification,eng_Latn,1119,▁ex,1,0.00500000
classification,eng_Latn,1124,das,1,0.00500000
classification,eng_Latn,1129,▁ju,4,0.02000000
classification,eng_Latn,1132,hu,2,0.01000000
classification,eng_Latn,1159,su,1,0.00500000
classification,eng_Latn,1165,lla,4,0.02000000
classification,eng_Latn,1174,nia,7,0.03500000
classification,eng_Latn,1176,my,5,0.02500000
classification,eng_Latn,1177,we,1,0.00500000
classification,eng_Latn,1181,ll,1,0.00500000
classification,eng_Latn,1185,▁kar,3,0.01500000
classification,eng_Latn,1191,ami,5,0.02500000
classification,eng_Latn,1192,ssa,1,0.00500000
classification,eng_Latn,1202,▁video,3,0.01500000
classification,eng_Latn,1207,▁fan,1,0.00500000
classification,eng_Latn,1221,▁will,54,0.27000000
classification,eng_Latn,1224,ks,2,0.01000000
classification,eng_Latn,1236,ant,1,0.00500000
classification,eng_Latn,1238,▁f,8,0.04000000
classification,eng_Latn,1249,min,1,0.00500000
classification,eng_Latn,1257,▁up,68,0.34000000
classification,eng_Latn,1272,by,6,0.03000000
classification,eng_Latn,1274,▁hi,5,0.02500000
classification,eng_Latn,1277,lt,1,0.00500000
classification,eng_Latn,1284,▁but,2,0.01000000
classification,eng_Latn,1286,▁more,10,0.05000000
classification,eng_Latn,1289,▁sam,1,0.00500000
classification,eng_Latn,1290,tor,1,0.00500000
classification,eng_Latn,1294,ry,15,0.07500000
classification,eng_Latn,1295,▁from,144,0.72000000
classification,eng_Latn,1297,ber,14,0.07000000
classification,eng_Latn,1305,▁post,19,0.09500000
classification,eng_Latn,1312,▁aus,1,0.00500000
classification,eng_Latn,1314,ers,16,0.08000000
classification,eng_Latn,1346,▁film,2,0.01000000
classification,eng_Latn,1363,tion,7,0.03500000
classification,eng_Latn,1380,▁come,5,0.02500000
classification,eng_Latn,1405,val,1,0.00500000
classification,eng_Latn,1410,yo,1,0.00500000
classification,eng_Latn,1414,lan,1,0.00500000
classification,eng_Latn,1416,▁nas,1,0.00500000
classification,eng_Latn,1427,▁ri,4,0.02000000
classification,eng_Latn,1444,nes,3,0.01500000
classification,eng_Latn,1459,dy,3,0.01500000
classification,eng_Latn,1467,▁web,1,0.00500000
classification,eng_Latn,1478,org,2,0.01000000
classification,eng_Latn,1479,nte,1,0.00500000
classification,eng_Latn,1482,▁orang,3,0.01500000
classification,eng_Latn,1484,lor,1,0.00500000
classification,eng_Latn,1490,▁sen,1,0.00500000
classification,eng_Latn,1492,▁ten,26,0.13000000
classification,eng_Latn,1495,sh,3,0.01500000
classification,eng_Latn,1507,ton,3,0.01500000
classification,eng_Latn,1510,mas,2,0.01000000
classification,eng_Latn,1515,ster,5,0.02500000
classification,eng_Latn,1518,▁vel,1,0.00500000
classification,eng_Latn,1528,▁program,7,0.03500000
classification,eng_Latn,1540,▁pot,3,0.01500000
classification,eng_Latn,1543,▁may,1,0.00500000
classification,eng_Latn,1544,asi,2,0.01000000
classification,eng_Latn,1552,▁sal,1,0.00500000
classification,eng_Latn,1556,▁has,19,0.09500000
classification,eng_Latn,1577,les,2,0.01000000
classification,eng_Latn,1585,▁ben,1,0.00500000
classification,eng_Latn,1601,▁super,2,0.01000000
classification,eng_Latn,1608,▁cha,2,0.01000000
classification,eng_Latn,1615,▁era,5,0.02500000
classification,eng_Latn,1620,▁bra,1,0.00500000
classification,eng_Latn,1631,▁war,2,0.01000000
classification,eng_Latn,1632,▁one,48,0.24000000
classification,eng_Latn,1640,▁dal,1,0.00500000
classification,eng_Latn,1643,yan,1,0.00500000
classification,eng_Latn,1647,▁j,2,0.01000000
classification,eng_Latn,1651,ria,1,0.00500000
classification,eng_Latn,1658,▁chi,10,0.05000000
classification,eng_Latn,1660,▁just,13,0.06500000
classification,eng_Latn,1663,og,1,0.00500000
classification,eng_Latn,1672,▁about,74,0.37000000
classification,eng_Latn,1674,ud,3,0.01500000
classification,eng_Latn,1681,son,6,0.03000000
classification,eng_Latn,1683,ida,1,0.00500000
classification,eng_Latn,1690,▁r,1,0.00500000
classification,eng_Latn,1697,▁mag,1,0.00500000
classification,eng_Latn,1728,ker,1,0.00500000
classification,eng_Latn,1733,▁time,95,0.47500000
classification,eng_Latn,1743,del,1,0.00500000
classification,eng_Latn,1755,ens,1,0.00500000
classification,eng_Latn,1756,▁gan,1,0.00500000
classification,eng_Latn,1760,land,5,0.02500000
classification,eng_Latn,1764,▁site,1,0.00500000
classification,eng_Latn,1771,ic,2,0.01000000
classification,eng_Latn,1774,▁plan,1,0.00500000
classification,eng_Latn,1779,ns,1,0.00500000
classification,eng_Latn,1793,▁wy,1,0.00500000
classification,eng_Latn,1810,▁out,27,0.13500000
classification,eng_Latn,1817,▁sus,2,0.01000000
classification,eng_Latn,1820,▁internet,4,0.02000000
classification,eng_Latn,1821,▁us,8,0.04000000
classification,eng_Latn,1824,vis,3,0.01500000
classification,eng_Latn,1829,▁via,3,0.01500000
classification,eng_Latn,1831,▁air,2,0.01000000
classification,eng_Latn,1836,▁they,11,0.05500000
classification,eng_Latn,1861,chi,1,0.00500000
classification,eng_Latn,1863,cz,1,0.00500000
classification,eng_Latn,1881,nik,1,0.00500000
classification,eng_Latn,1884,▁like,51,0.25500000
classification,eng_Latn,1902,▁had,5,0.02500000
classification,eng_Latn,1909,▁bar,5,0.02500000
classification,eng_Latn,1916,ting,1,0.00500000
classification,eng_Latn,1919,▁his,5,0.02500000
classification,eng_Latn,1926,▁hun,2,0.01000000
classification,eng_Latn,1927,▁tri,1,0.00500000
classification,eng_Latn,1957,▁see,8,0.04000000
classification,eng_Latn,1972,gan,3,0.01500000
classification,eng_Latn,1992,▁pun,1,0.00500000
classification,eng_Latn,2037,up,2,0.01000000
classification,eng_Latn,2043,▁net,1,0.00500000
classification,eng_Latn,2046,▁get,51,0.25500000
classification,eng_Latn,2053,▁data,3,0.01500000
classification,eng_Latn,2054,▁hay,1,0.00500000
classification,eng_Latn,2057,▁ham,1,0.00500000
classification,eng_Latn,2060,▁far,4,0.02000000
classification,eng_Latn,2062,▁ro,4,0.02000000
classification,eng_Latn,2065,mail,1,0.00500000
classification,eng_Latn,2069,ling,2,0.01000000
classification,eng_Latn,2082,vin,2,0.01000000
classification,eng_Latn,2125,▁kung,1,0.00500000
classification,eng_Latn,2130,▁tur,3,0.01500000
classification,eng_Latn,2158,▁pie,2,0.01000000
classification,eng_Latn,2160,▁dy,1,0.00500000
classification,eng_Latn,2174,▁if,22,0.11000000
classification,eng_Latn,2182,ate,1,0.00500000
classification,eng_Latn,2187,van,1,0.00500000
classification,eng_Latn,2189,ser,1,0.00500000
classification,eng_Latn,2193,▁bil,3,0.01500000
classification,eng_Latn,2223,▁ed,4,0.02000000
classification,eng_Latn,2243,▁aber,1,0.00500000
classification,eng_Latn,2256,line,2,0.01000000
classification,eng_Latn,2258,▁car,10,0.05000000
classification,eng_Latn,2265,▁social,4,0.02000000
classification,eng_Latn,2271,con,1,0.00500000
classification,eng_Latn,2288,▁ste,5,0.02500000
classification,eng_Latn,2296,▁mir,1,0.00500000
classification,eng_Latn,2301,▁don,8,0.04000000
classification,eng_Latn,2311,tin,1,0.00500000
classification,eng_Latn,2320,ation,1,0.00500000
classification,eng_Latn,2355,▁god,1,0.00500000
classification,eng_Latn,2360,▁hem,1,0.00500000
classification,eng_Latn,2363,▁their,5,0.02500000
classification,eng_Latn,2367,▁what,406,2.03000000
classification,eng_Latn,2397,lin,1,0.00500000
classification,eng_Latn,2408,cy,1,0.00500000
classification,eng_Latn,2412,▁she,3,0.01500000
classification,eng_Latn,2422,▁ye,1,0.00500000
classification,eng_Latn,2439,ila,1,0.00500000
classification,eng_Latn,2446,▁our,4,0.02000000
classification,eng_Latn,2448,▁prin,1,0.00500000
classification,eng_Latn,2449,ties,2,0.01000000
classification,eng_Latn,2450,▁media,4,0.02000000
classification,eng_Latn,2452,wi,1,0.00500000
classification,eng_Latn,2464,▁bis,2,0.01000000
classification,eng_Latn,2472,for,7,0.03500000
classification,eng_Latn,2480,ft,11,0.05500000
classification,eng_Latn,2481,ity,1,0.00500000
classification,eng_Latn,2499,▁any,66,0.33000000
classification,eng_Latn,2517,ent,1,0.00500000
classification,eng_Latn,2527,▁ama,7,0.03500000
classification,eng_Latn,2565,▁word,8,0.04000000
classification,eng_Latn,2577,▁face,4,0.02000000
classification,eng_Latn,2589,▁mat,1,0.00500000
classification,eng_Latn,2594,ck,6,0.03000000
classification,eng_Latn,2601,vel,1,0.00500000
classification,eng_Latn,2611,mento,2,0.01000000
classification,eng_Latn,2626,▁bara,3,0.01500000
classification,eng_Latn,2631,ap,1,0.00500000
classification,eng_Latn,2633,▁let,38,0.19000000
classification,eng_Latn,2641,▁alt,1,0.00500000
classification,eng_Latn,2652,▁pan,5,0.02500000
classification,eng_Latn,2663,▁top,6,0.03000000
classification,eng_Latn,2667,▁mon,1,0.00500000
classification,eng_Latn,2684,▁most,15,0.07500000
classification,eng_Latn,2685,▁there,44,0.22000000
classification,eng_Latn,2714,▁euro,7,0.03500000
classification,eng_Latn,2717,▁mil,1,0.00500000
classification,eng_Latn,2741,▁vol,1,0.00500000
classification,eng_Latn,2750,▁who,18,0.09000000
classification,eng_Latn,2804,▁said,2,0.01000000
classification,eng_Latn,2806,▁would,24,0.12000000
classification,eng_Latn,2809,▁been,10,0.05000000
classification,eng_Latn,2822,red,2,0.01000000
classification,eng_Latn,2831,▁part,1,0.00500000
classification,eng_Latn,2837,▁dis,7,0.03500000
classification,eng_Latn,2843,▁also,2,0.01000000
classification,eng_Latn,2844,bra,1,0.00500000
classification,eng_Latn,2852,ring,1,0.00500000
classification,eng_Latn,2856,▁them,5,0.02500000
classification,eng_Latn,2864,jan,1,0.00500000
classification,eng_Latn,2873,ade,1,0.00500000
classification,eng_Latn,2875,fer,1,0.00500000
classification,eng_Latn,2886,able,5,0.02500000
classification,eng_Latn,2887,ama,3,0.01500000
classification,eng_Latn,2896,▁sport,1,0.00500000
classification,eng_Latn,2914,ova,1,0.00500000
classification,eng_Latn,2950,▁wel,1,0.00500000
classification,eng_Latn,2965,▁best,16,0.08000000
classification,eng_Latn,2967,▁problem,1,0.00500000
classification,eng_Latn,2993,▁mor,1,0.00500000
classification,eng_Latn,3004,▁info,5,0.02500000
classification,eng_Latn,3005,▁yo,1,0.00500000
classification,eng_Latn,3018,▁hotel,1,0.00500000
classification,eng_Latn,3033,vy,1,0.00500000
classification,eng_Latn,3034,▁test,1,0.00500000
classification,eng_Latn,3038,hy,1,0.00500000
classification,eng_Latn,3055,tter,3,0.01500000
classification,eng_Latn,3060,▁some,30,0.15000000
classification,eng_Latn,3075,ise,2,0.01000000
classification,eng_Latn,3082,▁stor,1,0.00500000
classification,eng_Latn,3089,cho,1,0.00500000
classification,eng_Latn,3095,▁moment,4,0.02000000
classification,eng_Latn,3125,fu,1,0.00500000
classification,eng_Latn,3126,▁link,1,0.00500000
classification,eng_Latn,3129,▁which,16,0.08000000
classification,eng_Latn,3132,ves,2,0.01000000
classification,eng_Latn,3137,bit,3,0.01500000
classification,eng_Latn,3163,▁ele,1,0.00500000
classification,eng_Latn,3181,qui,1,0.00500000
classification,eng_Latn,3189,▁grande,1,0.00500000
classification,eng_Latn,3229,▁when,46,0.23000000
classification,eng_Latn,3245,▁chat,2,0.01000000
classification,eng_Latn,3249,▁make,50,0.25000000
classification,eng_Latn,3332,▁res,2,0.01000000
classification,eng_Latn,3340,▁email,170,0.85000000
classification,eng_Latn,3357,▁personal,2,0.01000000
classification,eng_Latn,3366,rak,1,0.00500000
classification,eng_Latn,3378,ian,1,0.00500000
classification,eng_Latn,3387,ies,2,0.01000000
classification,eng_Latn,3395,▁people,4,0.02000000
classification,eng_Latn,3398,▁ann,2,0.01000000
classification,eng_Latn,3438,▁ned,1,0.00500000
classification,eng_Latn,3442,ip,1,0.00500000
classification,eng_Latn,3443,cer,13,0.06500000
classification,eng_Latn,3444,▁want,66,0.33000000
classification,eng_Latn,3445,▁person,7,0.03500000
classification,eng_Latn,3459,via,1,0.00500000
classification,eng_Latn,3472,▁bak,4,0.02000000
classification,eng_Latn,3478,sia,3,0.01500000
classification,eng_Latn,3501,▁than,4,0.02000000
classification,eng_Latn,3509,set,1,0.00500000
classification,eng_Latn,3525,▁new,113,0.56500000
classification,eng_Latn,3530,▁bio,1,0.00500000
classification,eng_Latn,3541,▁jos,1,0.00500000
classification,eng_Latn,3542,▁were,4,0.02000000
classification,eng_Latn,3564,▁end,1,0.00500000
classification,eng_Latn,3587,▁hur,1,0.00500000
classification,eng_Latn,3618,vet,1,0.00500000
classification,eng_Latn,3627,▁tom,10,0.05000000
classification,eng_Latn,3629,sie,1,0.00500000
classification,eng_Latn,3630,one,1,0.00500000
classification,eng_Latn,3638,▁normal,1,0.00500000
classification,eng_Latn,3642,▁how,123,0.61500000
classification,eng_Latn,3643,▁jam,2,0.01000000
classification,eng_Latn,3647,▁base,1,0.00500000
classification,eng_Latn,3664,▁ok,8,0.04000000
classification,eng_Latn,3671,▁gar,2,0.01000000
classification,eng_Latn,3674,ted,6,0.03000000
classification,eng_Latn,3687,▁place,7,0.03500000
classification,eng_Latn,3688,▁here,12,0.06000000
classification,eng_Latn,3714,▁know,37,0.18500000
classification,eng_Latn,3716,mes,1,0.00500000
classification,eng_Latn,3725,▁san,2,0.01000000
classification,eng_Latn,3789,▁other,4,0.02000000
classification,eng_Latn,3798,xa,18,0.09000000
classification,eng_Latn,3815,dom,1,0.00500000
classification,eng_Latn,3818,av,1,0.00500000
classification,eng_Latn,3835,▁public,1,0.00500000
classification,eng_Latn,3871,▁need,44,0.22000000
classification,eng_Latn,3884,▁put,17,0.08500000
classification,eng_Latn,3900,▁trans,1,0.00500000
classification,eng_Latn,3915,ham,1,0.00500000
classification,eng_Latn,3917,▁way,9,0.04500000
classification,eng_Latn,3923,gas,2,0.01000000
classification,eng_Latn,3934,▁into,4,0.02000000
classification,eng_Latn,3938,adi,1,0.00500000
classification,eng_Latn,3962,rah,3,0.01500000
classification,eng_Latn,4000,▁local,10,0.05000000
classification,eng_Latn,4007,mit,1,0.00500000
classification,eng_Latn,4027,▁app,3,0.01500000
classification,eng_Latn,4034,▁start,43,0.21500000
classification,eng_Latn,4049,▁him,2,0.01000000
classification,eng_Latn,4053,▁mich,6,0.03000000
classification,eng_Latn,4084,ix,1,0.00500000
classification,eng_Latn,4092,▁free,5,0.02500000
classification,eng_Latn,4122,▁mid,2,0.01000000
classification,eng_Latn,4126,ved,1,0.00500000
