condition,language_i,language_j,flores_type_iou_percent,mteb_type_iou_percent,difference_points
overall,nld_Latn,por_Latn,21.27844615,10.70276610,-10.57568005
overall,nld_Latn,ron_Latn,24.33428614,12.49503771,-11.83924843
overall,nld_Latn,ind_Latn,22.71508465,11.76826807,-10.94681658
overall,nld_Latn,zsm_Latn,22.27653631,11.23922302,-11.03731329
overall,nld_Latn,tgl_Latn,25.25747508,11.95943583,-13.29803925
overall,nld_Latn,pol_Latn,20.05943536,10.44630676,-9.61312860
overall,nld_Latn,hun_Latn,19.85240392,10.71898069,-9.13342323
overall,nld_Latn,tur_Latn,20.12644106,10.05296195,-10.07347911
overall,nld_Latn,vie_Latn,21.29473487,8.21195379,-13.08278108
overall,nld_Latn,arb_Arab,3.21756895,1.90828255,-1.30928640
overall,nld_Latn,hin_Deva,3.61852951,1.89117452,-1.72735499
overall,nld_Latn,guj_Gujr,4.09708738,2.26811961,-1.82896777
overall,nld_Latn,rus_Cyrl,4.19856318,1.94314807,-2.25541511
overall,nld_Latn,tha_Thai,10.47303046,3.73601790,-6.73701256
overall,nld_Latn,zho_Hans,7.00088189,2.43946188,-4.56142001
overall,nld_Latn,jpn_Jpan,2.76215203,2.06419753,-0.69795450
overall,nld_Latn,kor_Hang,7.51745413,2.65201953,-4.86543460
overall,swe_Latn,spa_Latn,19.45054945,9.97675320,-9.47379625
overall,swe_Latn,fra_Latn,22.40171129,11.17884079,-11.22287050
overall,swe_Latn,ita_Latn,21.82642036,11.92046740,-9.90595296
overall,swe_Latn,por_Latn,20.27433690,10.89071142,-9.38362548
overall,swe_Latn,ron_Latn,22.62420566,11.54030480,-11.08390086
overall,swe_Latn,ind_Latn,22.79132185,12.06777657,-10.72354528
overall,swe_Latn,zsm_Latn,22.31024596,11.44736842,-10.86287754
overall,swe_Latn,tgl_Latn,24.63291342,12.27334542,-12.35956800
overall,swe_Latn,pol_Latn,20.19595667,10.70307297,-9.49288370
overall,swe_Latn,hun_Latn,20.69459363,10.57493857,-10.11965506
overall,swe_Latn,tur_Latn,20.56495534,10.99017530,-9.57478004
overall,swe_Latn,vie_Latn,19.45261656,7.80759004,-11.64502652
overall,swe_Latn,arb_Arab,3.07116634,1.57655479,-1.49461155
overall,swe_Latn,hin_Deva,3.36534646,1.69944421,-1.66590225
overall,swe_Latn,guj_Gujr,3.88620305,2.12221003,-1.76399302
overall,swe_Latn,rus_Cyrl,4.07180134,1.70107349,-2.37072785
overall,swe_Latn,tha_Thai,9.70770738,3.53551735,-6.17219003
overall,swe_Latn,zho_Hans,6.70831963,2.32152208,-4.38679755
overall,swe_Latn,jpn_Jpan,2.59613371,1.83837610,-0.75775761
overall,swe_Latn,kor_Hang,7.24297236,2.75357642,-4.48939594
overall,spa_Latn,fra_Latn,23.05345729,11.73442025,-11.31903704
overall,spa_Latn,ita_Latn,27.97242964,15.31846815,-12.65396149
overall,spa_Latn,por_Latn,40.41803476,22.73221666,-17.68581810
overall,spa_Latn,ron_Latn,27.50349496,14.42902016,-13.07447480
overall,spa_Latn,ind_Latn,19.14984060,10.90781140,-8.24202920
overall,spa_Latn,zsm_Latn,19.30115274,10.92970050,-8.37145224
overall,spa_Latn,tgl_Latn,22.97506582,12.32088325,-10.65418257
overall,spa_Latn,pol_Latn,17.30375652,9.54598370,-7.75777282
overall,spa_Latn,hun_Latn,18.05517431,9.33239775,-8.72277656
overall,spa_Latn,tur_Latn,17.35668790,9.52287646,-7.83381144
overall,spa_Latn,vie_Latn,18.47797983,7.80641106,-10.67156877
overall,spa_Latn,arb_Arab,2.92659413,1.81417260,-1.11242153
overall,spa_Latn,hin_Deva,3.13946313,1.58396101,-1.55550212
overall,spa_Latn,guj_Gujr,3.56853933,1.86500888,-1.70353045
overall,spa_Latn,rus_Cyrl,3.92200933,1.63850921,-2.28350012
overall,spa_Latn,tha_Thai,8.96371828,3.33557197,-5.62814631
overall,spa_Latn,zho_Hans,6.24399000,2.20944854,-4.03454146
overall,spa_Latn,jpn_Jpan,2.38111436,1.69960474,-0.68150962
overall,spa_Latn,kor_Hang,6.45039036,2.55011136,-3.90027900
overall,fra_Latn,ita_Latn,25.83887657,13.26224247,-12.57663410
overall,fra_Latn,por_Latn,24.17272592,12.54868934,-11.62403658
overall,fra_Latn,ron_Latn,25.69190998,12.44220261,-13.24970737
overall,fra_Latn,ind_Latn,19.43636770,9.64184434,-9.79452336
overall,fra_Latn,zsm_Latn,19.68258790,9.22693267,-10.45565523
overall,fra_Latn,tgl_Latn,22.35742679,10.76809089,-11.58933590
overall,fra_Latn,pol_Latn,17.60221760,8.79601383,-8.80620377
overall,fra_Latn,hun_Latn,18.41345460,9.25847458,-9.15498002
overall,fra_Latn,tur_Latn,17.82770443,8.87586136,-8.95184307
overall,fra_Latn,vie_Latn,20.10945181,8.20005422,-11.90939759
overall,fra_Latn,arb_Arab,3.02919974,1.93967814,-1.08952160
overall,fra_Latn,hin_Deva,3.16730943,1.97337137,-1.19393806
overall,fra_Latn,guj_Gujr,3.68365078,2.39603415,-1.28761663
overall,fra_Latn,rus_Cyrl,4.00822803,1.82550336,-2.18272467
overall,fra_Latn,tha_Thai,9.60418601,3.36204834,-6.24213767
overall,fra_Latn,zho_Hans,6.64548405,2.52827678,-4.11720727
overall,fra_Latn,jpn_Jpan,2.65072391,2.07324774,-0.57747617
overall,fra_Latn,kor_Hang,6.98651159,2.81622912,-4.17028247
overall,ita_Latn,por_Latn,29.11689263,15.46059065,-13.65630198
overall,ita_Latn,ron_Latn,30.31731777,16.64363277,-13.67368500
overall,ita_Latn,ind_Latn,20.79759863,11.00970314,-9.78789549
overall,ita_Latn,zsm_Latn,20.38336347,10.74821853,-9.63514494
overall,ita_Latn,tgl_Latn,24.05781335,11.79339393,-12.26441942
overall,ita_Latn,pol_Latn,18.53917663,9.47924388,-9.05993275
overall,ita_Latn,hun_Latn,18.08866726,9.01287554,-9.07579172
overall,ita_Latn,tur_Latn,18.51259218,9.70282179,-8.80977039
overall,ita_Latn,vie_Latn,19.36653146,7.52777121,-11.83876025
overall,ita_Latn,arb_Arab,3.10742214,1.55938005,-1.54804209
overall,ita_Latn,hin_Deva,3.28548399,1.69953840,-1.58594559
overall,ita_Latn,guj_Gujr,3.69907076,2.28441574,-1.41465502
overall,ita_Latn,rus_Cyrl,4.05488659,1.70940171,-2.34548488
overall,ita_Latn,tha_Thai,9.45466025,3.50132626,-5.95333399
overall,ita_Latn,zho_Hans,6.59115633,2.34737747,-4.24377886
overall,ita_Latn,jpn_Jpan,2.68711407,1.92253322,-0.76458085
overall,ita_Latn,kor_Hang,6.97357462,2.62575134,-4.34782328
overall,por_Latn,ron_Latn,27.96502504,14.23069326,-13.73433178
overall,por_Latn,ind_Latn,20.23740591,10.93014129,-9.30726462
overall,por_Latn,zsm_Latn,20.29571870,11.33611479,-8.95960391
overall,por_Latn,tgl_Latn,23.37662338,12.10256410,-11.27405928
overall,por_Latn,pol_Latn,17.90533736,9.73434535,-8.17099201
overall,por_Latn,hun_Latn,18.74388710,9.88697789,-8.85690921
overall,por_Latn,tur_Latn,18.28070919,10.26282854,-8.01788065
overall,por_Latn,vie_Latn,20.12952449,8.56231600,-11.56720849
overall,por_Latn,arb_Arab,3.19215961,1.71606864,-1.47609097
overall,por_Latn,hin_Deva,3.44150232,1.72320948,-1.71829284
overall,por_Latn,guj_Gujr,3.87369194,2.19076923,-1.68292271
overall,por_Latn,rus_Cyrl,4.02707468,1.83783784,-2.18923684
overall,por_Latn,tha_Thai,9.56107794,3.59633827,-5.96473967
overall,por_Latn,zho_Hans,6.52131468,2.38973818,-4.13157650
overall,por_Latn,jpn_Jpan,2.53523073,1.75269646,-0.78253427
overall,por_Latn,kor_Hang,6.98105914,2.77446624,-4.20659290
overall,ron_Latn,ind_Latn,22.84366577,12.01861202,-10.82505375
overall,ron_Latn,zsm_Latn,22.12978369,11.97463953,-10.15514416
overall,ron_Latn,tgl_Latn,24.31693989,11.51885831,-12.79808158
overall,ron_Latn,pol_Latn,21.21656540,11.09511469,-10.12145071
overall,ron_Latn,hun_Latn,19.19363998,9.73815828,-9.45548170
overall,ron_Latn,tur_Latn,20.45735926,10.60503715,-9.85232211
overall,ron_Latn,vie_Latn,20.70963070,8.51298383,-12.19664687
overall,ron_Latn,arb_Arab,3.17268791,1.60568315,-1.56700476
overall,ron_Latn,hin_Deva,3.48131587,1.60128963,-1.88002624
overall,ron_Latn,guj_Gujr,3.90909941,2.10047906,-1.80862035
overall,ron_Latn,rus_Cyrl,4.16450665,1.70124481,-2.46326184
overall,ron_Latn,tha_Thai,9.73988676,3.44640139,-6.29348537
overall,ron_Latn,zho_Hans,6.72213418,2.43281223,-4.28932195
overall,ron_Latn,jpn_Jpan,2.59321559,1.87861272,-0.71460287
overall,ron_Latn,kor_Hang,7.20295667,2.53861942,-4.66433725
overall,ind_Latn,zsm_Latn,61.82345027,39.12534166,-22.69810861
overall,ind_Latn,tgl_Latn,31.72772103,16.84749482,-14.88022621
overall,ind_Latn,pol_Latn,19.64488636,10.88895423,-8.75593213
overall,ind_Latn,hun_Latn,19.63406569,10.72948328,-8.90458241
overall,ind_Latn,tur_Latn,22.64901676,13.00443906,-9.64457770
overall,ind_Latn,vie_Latn,21.56398104,8.72534143,-12.83863961
overall,ind_Latn,arb_Arab,3.19328968,1.87130992,-1.32197976
overall,ind_Latn,hin_Deva,3.50877193,1.81636948,-1.69240245
overall,ind_Latn,guj_Gujr,4.16666667,2.44305891,-1.72360776
overall,ind_Latn,rus_Cyrl,4.15481271,1.93778684,-2.21702587
overall,ind_Latn,tha_Thai,10.32678617,4.17651694,-6.15026923
overall,ind_Latn,zho_Hans,6.99343724,2.64674109,-4.34669615
overall,ind_Latn,jpn_Jpan,2.71193835,2.02789593,-0.68404242
overall,ind_Latn,kor_Hang,7.39013013,3.27813829,-4.11199184
overall,zsm_Latn,tgl_Latn,32.62360159,17.84253579,-14.78106580
overall,zsm_Latn,pol_Latn,19.11669659,10.83105577,-8.28564082
overall,zsm_Latn,hun_Latn,19.78169856,10.93142917,-8.85026939
overall,zsm_Latn,tur_Latn,22.62830482,13.45408858,-9.17421624
overall,zsm_Latn,vie_Latn,22.94296057,9.46682622,-13.47613435
overall,zsm_Latn,arb_Arab,3.45708703,1.86818889,-1.58889814
overall,zsm_Latn,hin_Deva,4.23257802,1.96350196,-2.26907606
overall,zsm_Latn,guj_Gujr,4.70838396,2.57573735,-2.13264661
overall,zsm_Latn,rus_Cyrl,4.15689105,1.82120655,-2.33568450
overall,zsm_Latn,tha_Thai,10.95070423,4.97165801,-5.97904622
overall,zsm_Latn,zho_Hans,7.26132404,2.69842747,-4.56289657
overall,zsm_Latn,jpn_Jpan,2.95471418,1.84256321,-1.11215097
overall,zsm_Latn,kor_Hang,7.87487420,2.99721190,-4.87766230
overall,tgl_Latn,pol_Latn,21.44274809,11.57071623,-9.87203186
overall,tgl_Latn,hun_Latn,20.99992114,10.52693072,-10.47299042
overall,tgl_Latn,tur_Latn,24.30607034,12.58676539,-11.71930495
overall,tgl_Latn,vie_Latn,24.88706797,9.45800706,-15.42906091
overall,tgl_Latn,arb_Arab,3.70839937,2.14587242,-1.56252695
overall,tgl_Latn,hin_Deva,4.41723356,1.99392579,-2.42330777
overall,tgl_Latn,guj_Gujr,5.22704998,2.71535581,-2.51169417
overall,tgl_Latn,rus_Cyrl,4.40567340,1.72030540,-2.68536800
overall,tgl_Latn,tha_Thai,11.61441273,3.99412236,-7.62029037
overall,tgl_Latn,zho_Hans,7.81066823,2.52890173,-5.28176650
overall,tgl_Latn,jpn_Jpan,3.09520088,2.00668896,-1.08851192
overall,tgl_Latn,kor_Hang,8.41711896,3.08100930,-5.33610966
overall,pol_Latn,hun_Latn,18.35290885,9.51355584,-8.83935301
overall,pol_Latn,tur_Latn,18.06550309,10.01151853,-8.05398456
overall,pol_Latn,vie_Latn,17.05472468,7.35668404,-9.69804064
overall,pol_Latn,arb_Arab,2.92096220,1.68501023,-1.23595197
overall,pol_Latn,hin_Deva,3.17240317,1.67796063,-1.49444254
overall,pol_Latn,guj_Gujr,3.55958038,2.02553400,-1.53404638
overall,pol_Latn,rus_Cyrl,3.97417906,1.62547686,-2.34870220
overall,pol_Latn,tha_Thai,8.83233533,3.69482289,-5.13751244
overall,pol_Latn,zho_Hans,6.23960067,2.30721993,-3.93238074
overall,pol_Latn,jpn_Jpan,2.48793420,1.70241416,-0.78552004
overall,pol_Latn,kor_Hang,6.54149001,2.47246815,-4.06902186
overall,hun_Latn,tur_Latn,19.72283005,9.93548387,-9.78734618
overall,hun_Latn,vie_Latn,19.47182780,8.30883293,-11.16299487
overall,hun_Latn,arb_Arab,3.12008015,1.50413891,-1.61594124
overall,hun_Latn,hin_Deva,3.46662367,1.60224090,-1.86438277
overall,hun_Latn,guj_Gujr,3.94587434,1.98147195,-1.96440239
overall,hun_Latn,rus_Cyrl,4.24333894,1.80118363,-2.44215531
overall,hun_Latn,tha_Thai,9.67795347,4.03418803,-5.64376544
overall,hun_Latn,zho_Hans,6.75720658,2.23934723,-4.51785935
overall,hun_Latn,jpn_Jpan,2.68166702,1.77804415,-0.90362287
overall,hun_Latn,kor_Hang,7.06246037,2.74173530,-4.32072507
overall,tur_Latn,vie_Latn,20.21523332,8.21680485,-11.99842847
overall,tur_Latn,arb_Arab,3.19241983,1.64370079,-1.54871904
overall,tur_Latn,hin_Deva,3.67501648,1.80946152,-1.86555496
overall,tur_Latn,guj_Gujr,4.21400136,2.38541276,-1.82858860
overall,tur_Latn,rus_Cyrl,4.07335567,1.85402685,-2.21932882
overall,tur_Latn,tha_Thai,10.01439093,4.08547387,-5.92891706
overall,tur_Latn,zho_Hans,6.79296346,2.64865345,-4.14431001
overall,tur_Latn,jpn_Jpan,2.67117863,1.87962602,-0.79155261
overall,tur_Latn,kor_Hang,7.28450020,3.04362158,-4.24087862
overall,vie_Latn,arb_Arab,4.34368451,2.02086911,-2.32281540
overall,vie_Latn,hin_Deva,5.13452915,2.09122594,-3.04330321
overall,vie_Latn,guj_Gujr,6.25176404,2.73595299,-3.51581105
overall,vie_Latn,rus_Cyrl,5.10218872,1.95617317,-3.14601555
overall,vie_Latn,tha_Thai,14.00628711,4.10413476,-9.90215235
overall,vie_Latn,zho_Hans,8.67311679,2.41556955,-6.25754724
overall,vie_Latn,jpn_Jpan,3.54968624,2.05194805,-1.49773819
overall,vie_Latn,kor_Hang,9.89503608,3.13594154,-6.75909454
overall,arb_Arab,hin_Deva,3.48268441,1.32764921,-2.15503520
overall,arb_Arab,guj_Gujr,4.16467780,1.35574071,-2.80893709
overall,arb_Arab,rus_Cyrl,2.66100033,0.89828509,-1.76271524
overall,arb_Arab,tha_Thai,3.98259389,1.39140956,-2.59118433
overall,arb_Arab,zho_Hans,2.80513280,1.09468024,-1.71045256
overall,arb_Arab,jpn_Jpan,2.07379029,0.97336614,-1.10042415
overall,arb_Arab,kor_Hang,3.43844810,1.24787982,-2.19056828
overall,hin_Deva,guj_Gujr,6.15909766,1.92656018,-4.23253748
overall,hin_Deva,rus_Cyrl,2.92167577,1.11765293,-1.80402284
overall,hin_Deva,tha_Thai,4.92533987,1.62199313,-3.30334674
overall,hin_Deva,zho_Hans,3.27494288,1.24151104,-2.03343184
overall,hin_Deva,jpn_Jpan,2.27925685,1.06408417,-1.21517268
overall,hin_Deva,kor_Hang,4.43652850,1.52913624,-2.90739226
overall,guj_Gujr,rus_Cyrl,3.36785384,1.53585545,-1.83199839
overall,guj_Gujr,tha_Thai,5.89140778,2.27421466,-3.61719312
overall,guj_Gujr,zho_Hans,3.78871404,1.85544506,-1.93326898
overall,guj_Gujr,jpn_Jpan,2.86546302,1.24636477,-1.61909825
overall,guj_Gujr,kor_Hang,5.67107750,2.28280506,-3.38827244
overall,rus_Cyrl,tha_Thai,4.37154547,1.43283582,-2.93870965
overall,rus_Cyrl,zho_Hans,3.04471931,1.28015756,-1.76456175
overall,rus_Cyrl,jpn_Jpan,1.82989691,0.96895747,-0.86093944
overall,rus_Cyrl,kor_Hang,3.54019450,1.26443648,-2.27575802
overall,tha_Thai,zho_Hans,6.57994763,1.95370567,-4.62624196
overall,tha_Thai,jpn_Jpan,3.34420121,1.41751042,-1.92669079
overall,tha_Thai,kor_Hang,7.99614644,2.69485904,-5.30128740
overall,zho_Hans,jpn_Jpan,15.78947368,12.14894288,-3.64053080
overall,zho_Hans,kor_Hang,6.19330365,1.98019802,-4.21310563
overall,jpn_Jpan,kor_Hang,3.28420670,1.44563919,-1.83856751
sts,eng_Latn,deu_Latn,21.93094629,3.87212967,-18.05881662
sts,eng_Latn,nld_Latn,28.82450201,3.81679389,-25.00770812
sts,eng_Latn,spa_Latn,22.86655212,3.86715196,-18.99940016
sts,eng_Latn,fra_Latn,29.59531163,5.61747659,-23.97783504
sts,eng_Latn,ita_Latn,25.89240091,3.43612335,-22.45627756
sts,eng_Latn,ind_Latn,22.77916383,4.62854920,-18.15061463
sts,eng_Latn,pol_Latn,18.97840532,3.23266695,-15.74573837
sts,eng_Latn,tur_Latn,19.35413326,2.78139939,-16.57273387
sts,eng_Latn,arb_Arab,3.44107696,0.62552127,-2.81555569
sts,eng_Latn,hin_Deva,4.10970052,0.73118280,-3.37851772
sts,eng_Latn,guj_Gujr,4.65716745,4.85436893,0.19720148
sts,eng_Latn,rus_Cyrl,4.24133116,0.79840319,-3.44292797
sts,eng_Latn,zho_Hans,7.33458596,0.38314176,-6.95144420
sts,eng_Latn,jpn_Jpan,2.91586658,0.10598834,-2.80987824
sts,eng_Latn,kor_Hang,8.11722200,0.84182543,-7.27539657
sts,deu_Latn,nld_Latn,26.26518596,4.81481481,-21.45037115
sts,deu_Latn,spa_Latn,16.72478453,3.01065308,-13.71413145
sts,deu_Latn,fra_Latn,19.59483306,4.61956522,-14.97526784
sts,deu_Latn,ita_Latn,18.73043362,3.06168393,-15.66874969
sts,deu_Latn,ind_Latn,20.08424961,4.44620881,-15.63804080
sts,deu_Latn,pol_Latn,18.07429065,3.81411662,-14.26017403
sts,deu_Latn,tur_Latn,18.96975226,3.17673378,-15.79301848
sts,deu_Latn,arb_Arab,3.07543787,0.42662116,-2.64881671
sts,deu_Latn,hin_Deva,3.42640575,0.52840159,-2.89800416
sts,deu_Latn,guj_Gujr,3.88568338,0.82154267,-3.06414071
sts,deu_Latn,rus_Cyrl,4.09139513,0.73529412,-3.35610101
sts,deu_Latn,zho_Hans,6.97044017,0.30541012,-6.66503005
sts,deu_Latn,jpn_Jpan,2.63929619,0.05467469,-2.58462150
sts,deu_Latn,kor_Hang,7.30384292,0.63549705,-6.66834587
sts,nld_Latn,spa_Latn,20.23564483,2.78361345,-17.45203138
sts,nld_Latn,fra_Latn,24.57169316,3.60040568,-20.97128748
sts,nld_Latn,ita_Latn,23.13924051,3.16326531,-19.97597520
sts,nld_Latn,ind_Latn,22.71508465,3.32167832,-19.39340633
sts,nld_Latn,pol_Latn,20.05943536,3.44657804,-16.61285732
sts,nld_Latn,tur_Latn,20.12644106,3.24050633,-16.88593473
sts,nld_Latn,arb_Arab,3.21756895,0.24015370,-2.97741525
sts,nld_Latn,hin_Deva,3.61852951,0.29850746,-3.32002205
sts,nld_Latn,guj_Gujr,4.09708738,0.72614108,-3.37094630
sts,nld_Latn,rus_Cyrl,4.19856318,0.27359781,-3.92496537
sts,nld_Latn,zho_Hans,7.00088189,0.14785609,-6.85302580
sts,nld_Latn,jpn_Jpan,2.76215203,0.06402049,-2.69813154
sts,nld_Latn,kor_Hang,7.51745413,0.46367852,-7.05377561
sts,spa_Latn,fra_Latn,23.05345729,5.58891455,-17.46454274
sts,spa_Latn,ita_Latn,27.97242964,7.09219858,-20.88023106
sts,spa_Latn,ind_Latn,19.14984060,4.82509047,-14.32475013
sts,spa_Latn,pol_Latn,17.30375652,3.44218888,-13.86156764
sts,spa_Latn,tur_Latn,17.35668790,3.72727273,-13.62941517
sts,spa_Latn,arb_Arab,2.92659413,0.86580087,-2.06079326
sts,spa_Latn,hin_Deva,3.13946313,0.98345999,-2.15600314
sts,spa_Latn,guj_Gujr,3.56853933,1.48629819,-2.08224114
sts,spa_Latn,rus_Cyrl,3.92200933,1.20182346,-2.72018587
sts,spa_Latn,zho_Hans,6.24399000,0.75287865,-5.49111135
sts,spa_Latn,jpn_Jpan,2.38111436,0.11086475,-2.27024961
sts,spa_Latn,kor_Hang,6.45039036,1.10650069,-5.34388967
sts,fra_Latn,ita_Latn,25.83887657,5.28437080,-20.55450577
sts,fra_Latn,ind_Latn,19.43636770,4.74523532,-14.69113238
sts,fra_Latn,pol_Latn,17.60221760,4.20240137,-13.39981623
sts,fra_Latn,tur_Latn,17.82770443,3.72317127,-14.10453316
sts,fra_Latn,arb_Arab,3.02919974,0.79265749,-2.23654225
sts,fra_Latn,hin_Deva,3.16730943,0.77352815,-2.39378128
sts,fra_Latn,guj_Gujr,3.68365078,1.51989271,-2.16375807
sts,fra_Latn,rus_Cyrl,4.00822803,1.07956817,-2.92865986
sts,fra_Latn,zho_Hans,6.64548405,0.59650618,-6.04897787
sts,fra_Latn,jpn_Jpan,2.65072391,0.10582011,-2.54490380
sts,fra_Latn,kor_Hang,6.98651159,0.88534750,-6.10116409
sts,ita_Latn,ind_Latn,20.79759863,3.76699029,-17.03060834
sts,ita_Latn,pol_Latn,18.53917663,3.47938144,-15.05979519
sts,ita_Latn,tur_Latn,18.51259218,3.16483516,-15.34775702
sts,ita_Latn,arb_Arab,3.10742214,0.88458298,-2.22283916
sts,ita_Latn,hin_Deva,3.28548399,0.82429501,-2.46118898
sts,ita_Latn,guj_Gujr,3.69907076,1.44274121,-2.25632955
sts,ita_Latn,rus_Cyrl,4.05488659,1.00725222,-3.04763437
sts,ita_Latn,zho_Hans,6.59115633,0.60189166,-5.98926467
sts,ita_Latn,jpn_Jpan,2.68711407,0.05347594,-2.63363813
sts,ita_Latn,kor_Hang,6.97357462,0.84859312,-6.12498150
sts,ind_Latn,pol_Latn,19.64488636,4.52127660,-15.12360976
sts,ind_Latn,tur_Latn,22.64901676,3.94279088,-18.70622588
sts,ind_Latn,arb_Arab,3.19328968,0.77319588,-2.42009380
sts,ind_Latn,hin_Deva,3.50877193,0.83207262,-2.67669931
sts,ind_Latn,guj_Gujr,4.16666667,1.32916341,-2.83750326
sts,ind_Latn,rus_Cyrl,4.15481271,0.95676825,-3.19804446
sts,ind_Latn,zho_Hans,6.99343724,0.63789869,-6.35553855
sts,ind_Latn,jpn_Jpan,2.71193835,0.04520796,-2.66673039
sts,ind_Latn,kor_Hang,7.39013013,1.08864697,-6.30148316
sts,pol_Latn,tur_Latn,18.06550309,2.84018652,-15.22531657
sts,pol_Latn,arb_Arab,2.92096220,0.61000407,-2.31095813
sts,pol_Latn,hin_Deva,3.17240317,0.50188206,-2.67052111
sts,pol_Latn,guj_Gujr,3.55958038,1.04121475,-2.51836563
sts,pol_Latn,rus_Cyrl,3.97417906,0.89738588,-3.07679318
sts,pol_Latn,zho_Hans,6.23960067,0.45681063,-5.78279004
sts,pol_Latn,jpn_Jpan,2.48793420,0.10266940,-2.38526480
sts,pol_Latn,kor_Hang,6.54149001,0.77619664,-5.76529337
sts,tur_Latn,arb_Arab,3.19241983,0.58381985,-2.60859998
sts,tur_Latn,hin_Deva,3.67501648,0.51524259,-3.15977389
sts,tur_Latn,guj_Gujr,4.21400136,1.16019634,-3.05380502
sts,tur_Latn,rus_Cyrl,4.07335567,0.71827614,-3.35507953
sts,tur_Latn,zho_Hans,6.79296346,0.29787234,-6.49509112
sts,tur_Latn,jpn_Jpan,2.67117863,0.05299417,-2.61818446
sts,tur_Latn,kor_Hang,7.28450020,0.66371681,-6.62078339
sts,arb_Arab,hin_Deva,3.48268441,0.67425200,-2.80843241
sts,arb_Arab,guj_Gujr,4.16467780,0.56472632,-3.59995148
sts,arb_Arab,rus_Cyrl,2.66100033,0.86274510,-1.79825523
sts,arb_Arab,zho_Hans,2.80513280,0.29190992,-2.51322288
sts,arb_Arab,jpn_Jpan,2.07379029,0.05167959,-2.02211070
sts,arb_Arab,kor_Hang,3.43844810,0.69354140,-2.74490670
